,state,race,type,Num Workers,Num Artists,artists_share,location_quotient
687,Hawaii,Asian,"Fine Artists, Art Directors, And Animators",290190,390.0,0.0013439470691615,0.8891387212256294
688,Idaho,Asian,"Fine Artists, Art Directors, And Animators",12030,15.0,0.0012468827930174,0.8249221993492721
689,Illinois,Asian,"Fine Artists, Art Directors, And Animators",378055,305.0,0.000806760921030009,0.5337430246467457
690,Indiana,Asian,"Fine Artists, Art Directors, And Animators",76575,80.0,0.0010447273914462,0.6911786916127889
694,Louisiana,Asian,"Fine Artists, Art Directors, And Animators",41430,45.0,0.001086169442433,0.7185962388248911
695,Maine,Asian,"Fine Artists, Art Directors, And Animators",8235,45.0,0.0054644808743169,3.6152328080771374
696,Maryland,Asian,"Fine Artists, Art Directors, And Animators",213470,305.0,0.0014287721928139,0.945257971531482
697,Massachusetts,Asian,"Fine Artists, Art Directors, And Animators",249930,165.0,0.0006601848517584924,0.4367701141915304
698,Michigan,Asian,"Fine Artists, Art Directors, And Animators",163870,135.0,0.0008238237627387565,0.5450315892081876
699,Minnesota,Asian,"Fine Artists, Art Directors, And Animators",143550,180.0,0.0012539184952978,0.8295769327625283
701,Missouri,Asian,"Fine Artists, Art Directors, And Animators",63375,115.0,0.0018145956607495,1.2005139952028936
704,Nevada,Asian,"Fine Artists, Art Directors, And Animators",131920,165.0,0.0012507580351728,0.8274860115212945
706,New Jersey,Asian,"Fine Artists, Art Directors, And Animators",450385,450.0,0.0009991451757940428,0.6610220627799601
708,New York,Asian,"Fine Artists, Art Directors, And Animators",864770,2820.0,0.0032609826890387,2.157425723529133
709,North Carolina,Asian,"Fine Artists, Art Directors, And Animators",154710,65.0,0.00042014090879710425,0.2779600171422504
