,state,race,type,all_workers_n,artists_n,artists_share,location_quotient
167,Hawaii,Asian,Architects,290190,515.0,0.0017746993349185,0.854765793988419
168,Idaho,Asian,Architects,12030,,,
169,Illinois,Asian,Architects,378055,1135.0,0.0030022086733411,1.445983119447801
170,Indiana,Asian,Architects,76575,55.0,0.0007182500816193273,0.3459378099816466
171,Iowa,Asian,Architects,40760,50.0,0.0012266928361138,0.590824065468476
172,Kansas,Asian,Architects,46470,125.0,0.0026899074671831,1.2955664357916443
173,Kentucky,Asian,Architects,33565,,,
174,Louisiana,Asian,Architects,41430,35.0,0.0008447984552256819,0.406888540573173
175,Maine,Asian,Architects,8235,0.0,,
176,Maryland,Asian,Architects,213470,485.0,0.0022719820115238,1.0942769120363625
177,Massachusetts,Asian,Architects,249930,800.0,0.0032008962509502,1.541678960252556
178,Michigan,Asian,Architects,163870,215.0,0.0013120156221395,0.6319189132027146
179,Minnesota,Asian,Architects,143550,275.0,0.0019157088122605,0.9226815673752904
180,Mississippi,Asian,Architects,14850,0.0,,
181,Missouri,Asian,Architects,63375,110.0,0.0017357001972386,0.835982257967482
182,Montana,Asian,Architects,4980,0.0,,
183,Nebraska,Asian,Architects,24515,0.0,,
184,Nevada,Asian,Architects,131920,0.0,,
185,New Hampshire,Asian,Architects,20330,,,
186,New Jersey,Asian,Architects,450385,1035.0,0.0022980339043262,1.1068245399066314
187,New Mexico,Asian,Architects,16455,,,
188,New York,Asian,Architects,864770,2440.0,0.0028215594898065,1.3589752867636018
189,North Carolina,Asian,Architects,154710,230.0,0.0014866524465128,0.7160309545541812
190,North Dakota,Asian,Architects,6855,,,
191,Ohio,Asian,Architects,136125,160.0,0.0011753902662993,0.566114707123484
192,Oklahoma,Asian,Architects,44710,85.0,0.0019011406844106,0.9156649775093187
193,Oregon,Asian,Architects,98010,200.0,0.0020406081012141,0.9828380332004932
194,Pennsylvania,Asian,Architects,227500,575.0,0.0025274725274725,1.2173313074623888
195,Rhode Island,Asian,Architects,18645,,,
196,South Carolina,Asian,Architects,41915,,,
197,South Dakota,Asian,Architects,7135,0.0,,
198,Tennessee,Asian,Architects,62925,50.0,0.0007945967421533572,0.3827093986252695
199,Texas,Asian,Architects,712575,1840.0,0.0025821843314738,1.2436826886048753
200,Utah,Asian,Architects,40990,40.0,0.0009758477677482312,0.4700071023858518
201,Vermont,Asian,Architects,6080,0.0,,
202,Virginia,Asian,Architects,304945,615.0,0.0020167571201364,0.971350451965074
203,Washington,Asian,Architects,355135,815.0,0.0022949019386993,1.1053160606768409
204,West Virginia,Asian,Architects,7825,,,
205,Wisconsin,Asian,Architects,85760,75.0,0.0008745335820895522,0.4212101604797414
206,Wyoming,Asian,Architects,2835,0.0,,
207,Puerto Rico,Asian,Architects,1335,0.0,,
208,Alabama,Other,Architects,43075,0.0,,
209,Alaska,Other,Architects,71330,40.0,0.0005607738679377541,0.647434998759827
210,Arizona,Other,Architects,182520,90.0,0.0004930966469428008,0.5692990441511152
211,Arkansas,Other,Architects,37895,0.0,,
212,California,Other,Architects,688910,680.0,0.0009870665253806738,1.139606267649118
213,Colorado,Other,Architects,87510,230.0,0.0026282710547366,3.034440020041666
214,Connecticut,Other,Architects,41230,45.0,0.0010914382731021,1.2601074646915054
215,Delaware,Other,Architects,10885,0.0,,
216,District of Columbia,Other,Architects,11085,40.0,0.0036084799278304,4.166128864369731
217,Florida,Other,Architects,214840,130.0,0.0006051014708620369,0.6986129212437163
218,Georgia,Other,Architects,102865,340.0,0.0033053030671268,3.8160995180389534
219,Hawaii,Other,Architects,198250,155.0,0.0007818411097099621,0.9026656319720634
220,Idaho,Other,Architects,25710,80.0,0.0031116297160637,3.5924961852616466
221,Illinois,Other,Architects,112345,75.0,0.0006675864524455917,0.7707542357504527
222,Indiana,Other,Architects,61485,,,
223,Iowa,Other,Architects,27340,,,
224,Kansas,Other,Architects,43715,0.0,,
225,Kentucky,Other,Architects,36080,0.0,,
226,Louisiana,Other,Architects,42460,,,
227,Maine,Other,Architects,14700,0.0,,
228,Maryland,Other,Architects,85910,50.0,0.0005820044232336166,0.6719464914087193
229,Massachusetts,Other,Architects,97815,135.0,0.0013801564177273,1.5934436672053605
